university,query,adiga_code,adiga_label,candidate_count,detail_url,local_path,status
가천대,가천대학교,0000063,가천대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000063,입시결과_공식/대입정보포털/2025/0000063.html,downloaded
가천대(메디컬),가천대학교,0000063,가천대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000063,입시결과_공식/대입정보포털/2025/0000063.html,downloaded
가톨릭대,가톨릭대학교,0000046,가톨릭대학교[본교],11,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000046,입시결과_공식/대입정보포털/2025/0000046.html,downloaded
강남대,강남대학교,0000051,강남대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000051,입시결과_공식/대입정보포털/2025/0000051.html,downloaded
강원대,강원대학교,0000003,강원대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000003,입시결과_공식/대입정보포털/2025/0000003.html,downloaded
건국대,건국대학교,0000052,건국대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000052,입시결과_공식/대입정보포털/2025/0000052.html,downloaded
경북대,경북대학교,0000005,경북대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000005,입시결과_공식/대입정보포털/2025/0000005.html,downloaded
경상국립대,경상국립대학교,0000007,경상국립대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000007,입시결과_공식/대입정보포털/2025/0000007.html,downloaded
경성대,경성대학교,0000062,경성대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000062,입시결과_공식/대입정보포털/2025/0000062.html,downloaded
경희대,경희대학교,0000066,경희대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000066,입시결과_공식/대입정보포털/2025/0000066.html,downloaded
계명대,계명대학교,0000068,계명대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000068,입시결과_공식/대입정보포털/2025/0000068.html,downloaded
고려대,고려대학교,0000069,고려대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000069,입시결과_공식/대입정보포털/2025/0000069.html,downloaded
고려대(세종),고려대학교 세종캠퍼스,0000070,고려대학교(세종)[분교],0,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000070,입시결과_공식/대입정보포털/2025/0000070.html,downloaded
광운대,광운대학교,0000074,광운대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000074,입시결과_공식/대입정보포털/2025/0000074.html,downloaded
국립강릉원주대,국립강릉원주대학교,0000001,국립강릉원주대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000001,입시결과_공식/대입정보포털/2025/0000001.html,downloaded
국립공주대,국립공주대학교,0000008,국립공주대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000008,입시결과_공식/대입정보포털/2025/0000008.html,downloaded
국립군산대,국립군산대학교,0000009,국립군산대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000009,입시결과_공식/대입정보포털/2025/0000009.html,downloaded
국립금오공과대,국립금오공과대학교,0000010,국립금오공과대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000010,입시결과_공식/대입정보포털/2025/0000010.html,downloaded
국립순천대,국립순천대학교,0000020,국립순천대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000020,입시결과_공식/대입정보포털/2025/0000020.html,downloaded
국립한국교통대(의왕),국립한국교통대학교,0000034,국립한국교통대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000034,입시결과_공식/대입정보포털/2025/0000034.html,downloaded
대진대,대진대학교,0000097,대진대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000097,입시결과_공식/대입정보포털/2025/0000097.html,downloaded
덕성여대,덕성여자대학교,0000099,덕성여자대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000099,입시결과_공식/대입정보포털/2025/0000099.html,downloaded
동명대,동명대학교,0000235,동명대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000235,입시결과_공식/대입정보포털/2025/0000235.html,downloaded
동서대,동서대학교,0000103,동서대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000103,입시결과_공식/대입정보포털/2025/0000103.html,downloaded
동아대,동아대학교,0000105,동아대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000105,입시결과_공식/대입정보포털/2025/0000105.html,downloaded
동양대,동양대학교,0000106,동양대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000106,입시결과_공식/대입정보포털/2025/0000106.html,downloaded
동의대,동의대학교,0000107,동의대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000107,입시결과_공식/대입정보포털/2025/0000107.html,downloaded
명지대,명지대학교,0000109,명지대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000109,입시결과_공식/대입정보포털/2025/0000109.html,downloaded
명지대(용인),명지대학교,0000109,명지대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000109,입시결과_공식/대입정보포털/2025/0000109.html,downloaded
부산대,부산대학교,0000014,부산대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000014,입시결과_공식/대입정보포털/2025/0000014.html,downloaded
삼육대,삼육대학교,0000116,삼육대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000116,입시결과_공식/대입정보포털/2025/0000116.html,downloaded
서강대,서강대학교,0000120,서강대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000120,입시결과_공식/대입정보포털/2025/0000120.html,downloaded
서경대,서경대학교,0000121,서경대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000121,입시결과_공식/대입정보포털/2025/0000121.html,downloaded
서울기독대,서울기독대학교,0000098,서울기독대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000098,입시결과_공식/대입정보포털/2025/0000098.html,downloaded
서울대,서울대학교,0000019,서울대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,입시결과_공식/대입정보포털/2025/0000019.html,downloaded
서울시립대,서울시립대학교,0000040,서울시립대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000040,입시결과_공식/대입정보포털/2025/0000040.html,downloaded
서울신학대,서울신학대학교,0000125,서울신학대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000125,입시결과_공식/대입정보포털/2025/0000125.html,downloaded
서울여대,서울여자대학교,0000126,서울여자대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000126,입시결과_공식/대입정보포털/2025/0000126.html,downloaded
성결대,성결대학교,0000131,성결대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000131,입시결과_공식/대입정보포털/2025/0000131.html,downloaded
성공회대,성공회대학교,0000132,성공회대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000132,입시결과_공식/대입정보포털/2025/0000132.html,downloaded
성균관대,성균관대학교,0000133,성균관대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000133,입시결과_공식/대입정보포털/2025/0000133.html,downloaded
세종대,세종대학교,0000138,세종대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000138,입시결과_공식/대입정보포털/2025/0000138.html,downloaded
수원대,수원대학교,0000140,수원대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000140,입시결과_공식/대입정보포털/2025/0000140.html,downloaded
숙명여대,숙명여자대학교,0000141,숙명여자대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000141,입시결과_공식/대입정보포털/2025/0000141.html,downloaded
숭실대,숭실대학교,0000143,숭실대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000143,입시결과_공식/대입정보포털/2025/0000143.html,downloaded
신한대,신한대학교,0002712,신한대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0002712,입시결과_공식/대입정보포털/2025/0002712.html,downloaded
아주대,아주대학교,0000146,아주대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000146,입시결과_공식/대입정보포털/2025/0000146.html,downloaded
안양대,안양대학교,0000147,안양대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000147,입시결과_공식/대입정보포털/2025/0000147.html,downloaded
연세대,연세대학교,0000149,연세대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000149,입시결과_공식/대입정보포털/2025/0000149.html,downloaded
연세대(미래),연세대학교(미래),0000150,연세대학교(미래)[분교],0,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000150,입시결과_공식/대입정보포털/2025/0000150.html,downloaded
영남대,영남대학교,0000151,영남대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000151,입시결과_공식/대입정보포털/2025/0000151.html,downloaded
용인대,용인대학교,0000156,용인대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000156,입시결과_공식/대입정보포털/2025/0000156.html,downloaded
울산대,울산대학교,0000158,울산대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000158,입시결과_공식/대입정보포털/2025/0000158.html,downloaded
원광대,원광대학교,0000159,원광대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000159,입시결과_공식/대입정보포털/2025/0000159.html,downloaded
을지대,을지대학교,0000161,을지대학교[본교],3,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000161,입시결과_공식/대입정보포털/2025/0000161.html,downloaded
인제대,인제대학교,0000164,인제대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000164,입시결과_공식/대입정보포털/2025/0000164.html,downloaded
인천대,인천대학교,0002660,인천대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0002660,입시결과_공식/대입정보포털/2025/0002660.html,downloaded
인하대,인하대학교,0000169,인하대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000169,입시결과_공식/대입정보포털/2025/0000169.html,downloaded
전남대,전남대학교,0000023,전남대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000023,입시결과_공식/대입정보포털/2025/0000023.html,downloaded
전남대(여수),전남대학교,0000023,전남대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000023,입시결과_공식/대입정보포털/2025/0000023.html,downloaded
전북대,전북대학교,0000025,전북대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000025,입시결과_공식/대입정보포털/2025/0000025.html,downloaded
제주대,제주대학교,0000027,제주대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000027,입시결과_공식/대입정보포털/2025/0000027.html,downloaded
조선대,조선대학교,0000172,조선대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000172,입시결과_공식/대입정보포털/2025/0000172.html,downloaded
중부대(고양),중부대학교,0000173,중부대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000173,입시결과_공식/대입정보포털/2025/0000173.html,downloaded
중앙대,중앙대학교,0000175,중앙대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000175,입시결과_공식/대입정보포털/2025/0000175.html,downloaded
충남대,충남대학교,0000029,충남대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000029,입시결과_공식/대입정보포털/2025/0000029.html,downloaded
충북대,충북대학교,0000030,충북대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000030,입시결과_공식/대입정보포털/2025/0000030.html,downloaded
칼빈대,칼빈대학교,0000184,칼빈대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000184,입시결과_공식/대입정보포털/2025/0000184.html,downloaded
평택대,평택대학교,0000186,평택대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000186,입시결과_공식/대입정보포털/2025/0000186.html,downloaded
한경국립대,한경국립대학교,0000037,한경국립대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000037,입시결과_공식/대입정보포털/2025/0000037.html,downloaded
한국공학대,한국공학대학교,0000247,한국공학대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000247,입시결과_공식/대입정보포털/2025/0000247.html,downloaded
한국기술교육대,한국기술교육대학교,0000189,한국기술교육대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000189,입시결과_공식/대입정보포털/2025/0000189.html,downloaded
한국항공대,한국항공대학교,0000194,한국항공대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000194,입시결과_공식/대입정보포털/2025/0000194.html,downloaded
한라대,한라대학교,0000197,한라대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000197,입시결과_공식/대입정보포털/2025/0000197.html,downloaded
한성대,한성대학교,0000200,한성대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000200,입시결과_공식/대입정보포털/2025/0000200.html,downloaded
한세대,한세대학교,0000201,한세대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000201,입시결과_공식/대입정보포털/2025/0000201.html,downloaded
한신대,한신대학교,0000202,한신대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000202,입시결과_공식/대입정보포털/2025/0000202.html,downloaded
한양대,한양대학교,0000203,한양대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000203,입시결과_공식/대입정보포털/2025/0000203.html,downloaded
한양대(ERICA),한양대학교,0000204,한양대학교(ERICA)[분교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000204,입시결과_공식/대입정보포털/2025/0000204.html,downloaded
협성대,협성대학교,0000207,협성대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000207,입시결과_공식/대입정보포털/2025/0000207.html,downloaded
홍익대,홍익대학교,0000212,홍익대학교[본교],2,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000212,입시결과_공식/대입정보포털/2025/0000212.html,downloaded
화성의과학대,화성의과학대학교,0000233,화성의과학대학교[본교],1,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000233,입시결과_공식/대입정보포털/2025/0000233.html,downloaded
